Virtshaus Ulm | Ulm
Voglhaus | Konstanz
V-Bandits | Ludwigsburg
Ich bin so frey | Landau in der Pfalz
Eiscafé Fiona | Ulm
VELO | Heilbronn
My Heart Beats Vegan | Karlsruhe
Viegan | Stuttgart
Oses | Aalen
drei&zwanzig | Karlsruhe
Veamo | Friedrichshafen
doen doen | Stuttgart
Biolandhof Clemens Hund | Meckenbeuren
Soy Club | Stuttgart
Yuícery | Stuttgart
Mandala Café & Yoga | Oberstdorf
Café Hinterzimmer | Freiburg im Breisgau
Akko Falafel | Metzingen
AYI Cafe | Ulm
Palms Healthy Food | Heilbronn
Die Vegane Fleischerei | Stuttgart
Energetic World | Stuttgart
Emmi's Kitchen | Augsburg
Restaurant Rübenrot | Augsburg
Bodhi | Munich
Dreizehn | Augsburg
Le Chay | Alling
Katzentempel | Rosenheim
Soy Vegan München | Munich
Emmi's Glockenbach | Munich
Emmi's Brunch Club | Munich
Dear Goods | Augsburg
Shoes for Society | Munich
Nude Food Augsburg | Augsburg
Zur Goldenen Kaper | Regensburg
Doctor Drooly | Munich
Padme Hum | Munich
La Mara Chocolaterie | Barbing
Katzentempel | Augsburg
Herbivora | Bad Aibling
Die Vegane Fleischerei | Augsburg
Cafélina | Freising
Akimy | Munich
Green Republic | Erfurt
Falscher Hase | Dresden
Vegöner Point | Erlangen
Steffenhagen | Dresden
Vokü | Erlangen
Vegan House | Dresden
Vegan House | Dresden
Lesecafé Erlangen | Erlangen
Die Vegane Fleischerei | Dresden
Veganel | Nuremberg
Vegannett | Dresden
My Hao | Nuremberg
Chay Vegan Kitchen | Nuremberg
Hanim & Ağa | Nuremberg
Kaschemme | Nuremberg
Vegefarm | Bremen
Krawummel | Münster
Crunchy Kebab Vegan | Kassel
be.Well | Bochum
Restaurant Hiller | Hannover
sattgrün | Essen
Sattgrün | Düsseldorf
Sattgrün | Düsseldorf
Nature's Food Veganshop | Hannover
Jambu am Siggi | Bielefeld
Petersilchen | Xanten
Chay Chay | Münster
Vengo | Bremen
Zum glücklichen Bergschweinchen | Kassel
Göing | Hannover
ÇiğköfteM | Bochum
Veganland Çiğköfte | Wesel
Maki Maki sushi green | Münster
pressgut | Bremen
Hummelbude | Essen
Black Pigeon | Dortmund
Dahler Stube | Hagen
Veganer Bär | Hannover
FETTE BEETE | Krefeld
Vegano Çiğköfte | Recklinghausen
Souls | Düsseldorf
Katzencafé Miezhaus | Bielefeld
Die 3 Schwestern | Münster
Katzentempel | Bochum
greens | Kempen
Sen Vegan Cuisine | Düsseldorf
Hippo Bio Vegan | Hannover
Nicezeit | Hannover
Snäckday | Kassel
Kimbap Spot | Bochum
To1980 Vegan | Düsseldorf
Zur Molli | Einbeck
Vrüh | Dortmund
Veganland Duisburg Altstadt | Duisburg
Veganroll Cigköfte | Herne
vorveg | Hannover
All Vegan | Hannover
Nicezeit | Hannover
Naturkost-Hotel Harz | Bad Grund
Cham | Hannover
Las Vegans | Bochum
Rüpel Food Lab und Kiosk | Hannover
Falafel 1001 | Duisburg
Vegane Bergpension | Clausthal-Zellerfeld
Peace Food | Essen
Hautschatz veganes Kosmetikstudio | Gehrden
Brammibal's Donuts | Berlin
Vegan Garden | Berlin
li.ke | Berlin
Café Kandler an der Thomaskirche | Leipzig
Brammibal’s Donuts | Berlin
19:77 | Berlin
Fischladen | Berlin
Vegan Haus | Berlin
Easy Peasy | Berlin
Kiez Vegan | Berlin
An Chay – Vegan Diner | Leipzig
Tuk Tuk | Leipzig
Vöner | Berlin
Pêle Mêle | Berlin
HAPPA | Berlin
Tra My | Berlin
Dervish | Berlin
Café Vux | Berlin
Vegang | Berlin
doen doen Kebap | Berlin
Brammibal's Donuts | Berlin
Wein-Salon | Berlin
Backyard | Berlin
Vaust | Berlin
Emma Pea | Berlin
Quy Nguyen Vegan Living | Berlin
La Petite Véganerie | Berlin
Froindlichst | Berlin
Orangerie Neukölln | Berlin
Udonge Vegan | Potsdam
Dr. Pogo | Berlin
REWE voll pflanzlich | Berlin
Dein Deli | Leipzig
Nam Ý | Berlin
Mana Moabit | Berlin
Chay Umi | Berlin
Klunkerkranich | Berlin
IIMORI VEGAN | Berlin
Alaska | Berlin
Botanica | Magdeburg
Veganaa | Berlin
Barkett | Berlin
Vegan Living | Magdeburg
La Stella Nera | Berlin
Café Prana | Berlin
Soy | Berlin
QB Vegan | Berlin
1990 Vegan Living | Berlin
Kernvoll | Berlin
Café Rosenberg | Potsdam
Hum | Berlin
Shisomen | Berlin
+84 Vietnamese Vegan Kitchen | Berlin
Emira | Berlin
Vegan Land | Berlin
Mom's Creation | Berlin
Ouai | Leipzig
VEG'D | Berlin
VND – Viet Next Door | Berlin
Cowvana - vegan Food & More | Magdeburg
Cafe Katzentempel | Leipzig
Secret Garden - Vegan Sushi | Berlin
Neue Republik Reger | Berlin
Tiger Club | Berlin
Sunshine | Berlin
Element Five | Berlin
Quan Xanh | Leipzig
Vamos Veganos | Berlin
Försters | Berlin
Chay Long | Berlin
Feel Seoul Good | Berlin
Vedang | Berlin
Dal Tokki | Berlin
Radikalecker | Berlin
Mojewa | Berlin
Sfera | Berlin
Comcha | Berlin
Bay Vegan | Halle (Saale)
Sùsù Vegan Food | Berlin
Oukan | Berlin
Galería Lunasol | Berlin
Al Catzone - Pizza Napovegana | Berlin
The Sanctuary | Berlin
Mensa Pasteria TU Veggie 2.0 – Die vegane Mensa | Berlin
Umi Vegan | Berlin
Daizu | Berlin
Pistrada | Leipzig
velicious | Berlin
Die vegane Fleischerei | Berlin
Vaust | Berlin
Loving Hut | Hamburg
Kkokki | Hamburg
1900 Asia Fusion-Sushi-Grill | Hamburg
Green Gold | Langballig
Ændrè | Hamburg
Brammibal's Donuts | Hamburg
Bodhi | Hamburg
Råbowls | Hamburg
Veggiemaid | Oldenburg
Green Table | Hamburg
Happenpappen | Hamburg
Veganski | Kiel
Good One Café | Hamburg
Kjeks | Hamburg
Antee | Hamburg
citta | Hamburg
Brammibal's Donuts | Hamburg
Bodhi Vegan Living | Hamburg
Katzentempel | Hamburg
Ta Vegan House | Hamburg
Chay Vegan | Hamburg
Veganam | Kiel
Cam On | Hamburg
Brammibal‘s Donuts | Hamburg
Cham The Vegan Kitchen | Hamburg
Die Vegane Fleischerei | Hamburg
BETR BURGERS | Hamburg
sour kitchen | Hamburg
brammibal's donuts | Hamburg
Ringhotel Fährhaus Farge | Bremen
The Vegan Eagle | Hamburg
Vincent Vegan | Hamburg
Liebe Liesbeth | Schwerin
BommelZ | Greifswald
Vegangster | Rostock
Landhaus DIE ARCHE | Zislow
Vegan Resort | Neukalen
