priority,action_type,record_status,current_id,current_slug,name,city,country,current_level,target_level,action_for_agent,why_this_matters_for_100_percent_layer,current_address,suggested_address,current_website,suggested_website,current_phone,suggested_phone,current_opening_hours,suggested_opening_hours,official_source_to_scrape,happycow_or_secondary_source,google_maps_search,evidence_summary,fields_to_fix,duplicate_or_merge_target,confidence,last_checked_by_agent
P0,VERIFY_SEASONAL_100,existing,dcb8bdc5-b273-4fea-81be-6d0724f35bfa,adio-mare-vegan-korcula,Adio Mare Vegan,Korčula,Croatia,fully_vegan,fully_vegan_if_open,"Verify current 2026 open status, exact location, hours, phone/social; mark seasonal if applicable.",Island/coastal vegan places often operate seasonally; current status is key to being fresher than HappyCow.,"Korčula, Dubrovačko-neretvanska županija, Hrvatska",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Adio%20Mare%20Vegan%20Korčula%20Croatia,Record lacks complete contact/hours and appears sourced from HappyCow or travel lists.,"website, phone, opening hours, main image",,Medium,2026-05-17
P0,MERGE_DUPLICATE_AND_VERIFY_SEASONAL,existing,2447af0c-ffa5-435c-b9ce-b8a33c896f10,art-of-raw-zadar,Art of Raw,Zadar,Croatia,fully_vegan,fully_vegan_if_open,Merge the two Art of Raw records into one canonical Zadar record; verify seasonal/open status and exact address.,Duplicate 100% vegan records inflate count; seasonal vegan places must have current status.,"The Garden Zadar, Zadar, Croatia",,,,,,,,,https://www.happycow.net/searchmap?s=3&location=Zadar%2C%20Croatia&filters=vegan,https://www.google.com/maps/search/Art%20of%20Raw%20Zadar%20Croatia,Dataset contains two Art of Raw Zadar records with different coordinates/address text.,"website, phone, opening hours, main image",Keep richer record after verification; merge other Art of Raw record.,High,2026-05-17
P0,MERGE_DUPLICATE_AND_VERIFY_SEASONAL,existing,f97bbafd-d7c6-4b63-a4f8-70f21517b73f,croatia-longtail-overnight-art-of-raw,Art of Raw,Zadar,Croatia,fully_vegan,fully_vegan_if_open,Merge the two Art of Raw records into one canonical Zadar record; verify seasonal/open status and exact address.,Duplicate 100% vegan records inflate count; seasonal vegan places must have current status.,"Zadar, Croatia",,,,,,,,,https://www.happycow.net/searchmap?s=3&location=Zadar%2C%20Croatia&filters=vegan,https://www.google.com/maps/search/Art%20of%20Raw%20Zadar%20Croatia,Dataset contains two Art of Raw Zadar records with different coordinates/address text.,"website, phone, opening hours, main image",Keep richer record after verification; merge other Art of Raw record.,High,2026-05-17
P1,KEEP_ENRICH_100,existing,09ea2232-785a-457d-ad4d-dc2df72d1d79,barakokula-split,Barakokula,Split,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","IV 3 Petra Krešimira, 21000, Croatia",,https://barakokula-plant-based.eatbu.com,,+385 99 344 4648,,,,https://barakokula-plant-based.eatbu.com,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Barakokula%20Split%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,opening hours,,Medium,2026-05-17
P0,REMOVE_OR_ARCHIVE_FALSE_100,existing,f3dacc2c-934c-46c4-99de-a44e89c41dfb,barcode-mitra-croatia,Barcode Mitra,Croatia,Croatia,fully_vegan,remove_closed,Mark permanently closed / remove from active 100% vegan list unless Google/official source proves reopened.,Closed or stale 100% vegan records destroy trust versus HappyCow.,"Zagrebačka cesta 113, Croatia",,https://www.barcodemitra.hr/,,+385 1 3770 428,,"off ""izgleda trajno zatvoreno u 2025/12""",,https://www.barcodemitra.hr/,https://www.google.com/maps/search/Barcode%20Mitra%20Zagreba%C4%8Dka%20cesta%20113%20Croatia,https://www.google.com/maps/search/Barcode%20Mitra%20Croatia%20Croatia,Current PlantsPack opening_hours already says off / appears permanently closed in 2025.,"open status, city, address, hours",,High,2026-05-17
P1,ENRICH_AND_VERIFY_CHAIN_BRANCH,existing,2350fbdf-72c6-4119-a601-d18096391a4d,biomania-zagreb,BioMania,Zagreb,Croatia,fully_vegan,fully_vegan,Keep as 100% vegan if official site confirms branch is plant-based; add current hours and complete source data.,Strong fully vegan branch but must be branch-specific to outperform HappyCow.,"65 Tkalčićeva ulica, Zagreb, 10000, Croatia",,https://biomania.hr/locations/biomania-zagreb/,,+385 91 574 3914,,Tu 11:00-23:00; We 11:00-23:00; Th 11:00-23:00; Fr 11:00-23:00; Sa 11:00-23:00; Su 11:00-23:00,,https://biomania.hr/locations/biomania-zagreb/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/BioMania%20Zagreb%20Croatia,Biomania is described as organic plant-based; dataset has verification level 3.,,,High,2026-05-17
P1,ENRICH_AND_VERIFY_CHAIN_BRANCH,existing,27d5bf3c-4493-4f96-bd33-a1b67a6de158,biomania-street-food-bol,Biomania Street Food,Bol,Croatia,fully_vegan,fully_vegan,Keep as 100% vegan if official site confirms branch is plant-based; add current hours and complete source data.,Strong fully vegan branch but must be branch-specific to outperform HappyCow.,"Put Zlatnog rata, Bol, 21420, Croatia",,https://biomania.hr,,+385 91 301 5362,,,,https://biomania.hr,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Biomania%20Street%20Food%20Bol%20Croatia,Biomania is described as organic plant-based; dataset has verification level 3.,opening hours,,High,2026-05-17
P1,KEEP_ENRICH_100,existing,145a3aa3-2ee6-40bd-acdc-990c659037da,falafel-etc-city-of-zagreb,Falafel etc.,Zagreb,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.",60 Ulica Andrije Žaje,,https://falafeletc.com.hr/,,012343945,,Mo-Su 11:00-21:30,,https://falafeletc.com.hr/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Falafel%20etc.%20Zagreb%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,,,Medium,2026-05-17
P0,VERIFY_SEASONAL_100,existing,d466f1bb-9d27-481e-8c3e-4024db2d460b,green-goodness-hvar-hvar,Green Goodness Hvar,Hvar,Croatia,fully_vegan,fully_vegan_if_open,"Verify current 2026 open status, exact location, hours, phone/social; mark seasonal if applicable.",Island/coastal vegan places often operate seasonally; current status is key to being fresher than HappyCow.,"Hvar, Splitsko-dalmatinska županija, Hrvatska",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Green%20Goodness%20Hvar%20Hvar%20Croatia,Record lacks complete contact/hours and appears sourced from HappyCow or travel lists.,"website, phone, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,e5fa235f-0299-4500-98af-02f793f0ae52,croatia-blog-makrovega,Makrovega,Rijeka,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","Rijeka, Croatia",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Makrovega%20Rijeka%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, phone, opening hours",,Medium,2026-05-17
