Name,City,Country,Address,Category,Type/Subcategory,Current level,Suggested PlantsPack level,Confidence,Verification level,Is verified,Action,Priority,Reason,Website,Source to scrape,Google Maps search,HappyCow/source search,Phone,Opening hours,Raw opening hours,Hours note,Image scrape source,Main image,Images count,Cuisine types,Description,Latitude,Longitude,Slug,Place ID,Data quality flags,Updated at
100% BIO,Rome,Italy,6/a Piazza di Porta San Paolo,eat,restaurant,Vegan friendly,Vegan friendly,Medium,1,False,Keep / monitor,P3,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,http://www.centopercento.bio,http://www.centopercento.bio,https://www.google.com/maps/search/100%25%20BIO%206/a%20Piazza%20di%20Porta%20San%20Paolo%20Rome%20Italy,https://www.google.com/search?q=100%25%20BIO%20Rome%20Italy%20HappyCow,+39 06 574 7778,Monday: 08:00–21:00; Tuesday: 08:00–21:00; Wednesday: 08:00–21:00; Thursday: 08:00–23:00; Friday: 08:00–23:00; Saturday: 08:00–23:00; Sunday: 08:00–16:00,Mo-We 08:00-21:00; Th-Sa 08:00-23:00; Su 08:00-16:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/c49f13a1-5342-4010-b550-5230555d2192.webp?v=mp2fy46k,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/c49f13a1-5342-4010-b550-5230555d2192.webp?v=mp2fy46k,2,,"Vegan-friendly restaurant in Rome, Italy.",41.8770478,12.4820703,100-bio-rome,c49f13a1-5342-4010-b550-5230555d2192,low verification; generic/AI-like description,2026-05-12T09:41:28.410854+00:00
Al Pachino Roma,Rome,Italy,124 - 126 Via della Bufalotta,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Al%20Pachino%20Roma%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Al%20Pachino%20Roma%20124%20-%20126%20Via%20della%20Bufalotta%20Rome%20Italy,https://www.google.com/search?q=Al%20Pachino%20Roma%20Rome%20Italy%20HappyCow,3404077312,Monday: 19:30–23:00; Tuesday: 19:30–23:00; Wednesday: 19:30–23:00; Thursday: 19:30–23:00; Friday: 19:30–23:00; Saturday: 19:30–23:00; Sunday: Closed,Mo-Sa 19:30-23:00,Unspecified weekdays set to Closed,https://www.google.com/maps/search/Al%20Pachino%20Roma%20124%20-%20126%20Via%20della%20Bufalotta%20Rome%20Italy,,0,pizza,"This vibrant café specializes in artisan vegan pizzas, crafted with fresh, locally sourced ingredients that celebrate the flavors of Italy. With a cozy atmosphere and a creative menu featuring unique toppings and plant-based cheeses, it's a beloved spot for vegans seeking delicious, guilt-free indulgence in the heart of Rome.",41.9489023,12.5409523,al-pachino-roma,e1486daa-2ec9-47c1-94d5-80de48de1f40,missing website; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Alice Pizza,Rome,Italy,,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Fix address / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Alice%20Pizza%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Alice%20Pizza%20Rome%20Italy,https://www.google.com/search?q=Alice%20Pizza%20Rome%20Italy%20HappyCow,,Monday: 08:00–23:00; Tuesday: 08:00–23:00; Wednesday: 08:00–23:00; Thursday: 08:00–23:00; Friday: 08:00–23:00; Saturday: 08:00–23:00; Sunday: 08:00–23:00,Mo-Su 08:00-23:00,Parsed from raw hours,https://www.google.com/maps/search/Alice%20Pizza%20Rome%20Italy,,0,pizza,"This charming pizzeria in Rome specializes in delicious vegan pizzas, crafted with fresh, high-quality ingredients that cater to plant-based diets. With a cozy atmosphere and a variety of unique toppings, it’s a favorite among vegans who appreciate both traditional flavors and innovative combinations.",41.7339279,12.2772881,alice-pizza,fe1692e7-cdfd-48da-8ed4-d9c72493ac7a,missing website; missing phone; missing address; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
All'antica torretta,Rome,Italy,132 Via Cristoforo Colombo,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add hours / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=All%27antica%20torretta%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/All%27antica%20torretta%20132%20Via%20Cristoforo%20Colombo%20Rome%20Italy,https://www.google.com/search?q=All%27antica%20torretta%20Rome%20Italy%20HappyCow,+39 06 5135177,,,Missing hours,https://www.google.com/maps/search/All%27antica%20torretta%20132%20Via%20Cristoforo%20Colombo%20Rome%20Italy,,0,regional,"This charming regional café celebrates the rich flavors of Italian cuisine with a fully vegan menu, showcasing fresh, locally-sourced ingredients. The inviting atmosphere, complete with rustic decor and friendly staff, makes it a favorite among vegans, who love the creative twists on traditional dishes and the delectable homemade desserts.",41.864866,12.4964823,all-antica-torretta,7bfed9b2-29b4-4a12-a05f-9924d69b2275,missing website; missing hours; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
ALT Stazione del Gusto,Rome,Italy,97 Piazzale della Posta,eat,restaurant,Vegan friendly,Vegan options,Medium,1,False,Change level,P0,Mixed/mainstream venue or meat/cheese/fish-heavy context with vegan items; not vegan-focused.,https://www.altstazionedelgusto.it/ostia/,https://www.altstazionedelgusto.it/ostia/,https://www.google.com/maps/search/ALT%20Stazione%20del%20Gusto%2097%20Piazzale%20della%20Posta%20Rome%20Italy,https://www.google.com/search?q=ALT%20Stazione%20del%20Gusto%20Rome%20Italy%20HappyCow,+39 347 359 3388,Monday: 08:00–22:00; Tuesday: 08:00–22:00; Wednesday: 08:00–22:00; Thursday: 08:00–22:00; Friday: 08:00–23:00; Saturday: 08:00–23:00; Sunday: 08:00–22:00,Fr-Sa 08:00-23:00; Su-Th 08:00-22:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/6e94acb1-9690-46b8-9e8e-ddb9ea045b79.webp?v=mp229pc4,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/6e94acb1-9690-46b8-9e8e-ddb9ea045b79.webp?v=mp229pc4,2,"burger, chicken, dessert","Vegan-friendly burger & chicken restaurant in Rome, Italy.",41.7315928,12.2772381,alt-stazione-del-gusto-rome,6e94acb1-9690-46b8-9e8e-ddb9ea045b79,low verification,2026-05-12T03:18:34.397758+00:00
Apulia,Rome,Italy,10 Via degli Umbri,eat,restaurant,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Apulia%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Apulia%2010%20Via%20degli%20Umbri%20Rome%20Italy,https://www.google.com/search?q=Apulia%20Rome%20Italy%20HappyCow,,"Monday: 12:00–15:00, 19:00–23:00; Tuesday: 12:00–15:00, 19:00–23:00; Wednesday: 12:00–15:00, 19:00–23:00; Thursday: 12:00–15:00, 19:00–23:00; Friday: 12:00–15:00, 19:00–23:00; Saturday: 12:00–15:00, 19:00–23:00; Sunday: 12:00–15:00, 19:00–23:00","Mo-Su 12:00-15:00,19:00-23:00",Parsed from raw hours,https://www.google.com/maps/search/Apulia%2010%20Via%20degli%20Umbri%20Rome%20Italy,,0,,"Vegan-friendly restaurant in Rome, Italy.",41.8976695,12.5137118,apulia-rome,8bb496f5-f860-489d-b187-f7fb340934af,missing website; missing phone; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Aromaticus,Rome,Italy,6/7 Via Natale Del Grande,eat,restaurant,Mostly vegan,Mostly vegan,Medium,1,False,Keep / monitor,P3,"Strong plant-based/vegetarian or mostly vegan signal, but not enough evidence that everything is vegan.",https://www.aromaticus-roma.com,https://www.aromaticus-roma.com,https://www.google.com/maps/search/Aromaticus%206/7%20Via%20Natale%20Del%20Grande%20Rome%20Italy,https://www.google.com/search?q=Aromaticus%20Rome%20Italy%20HappyCow,+390688798381,Monday: Closed; Tuesday: 12:00–23:00; Wednesday: 12:00–23:00; Thursday: 12:00–23:00; Friday: 12:00–23:00; Saturday: 12:00–23:00; Sunday: 12:00–23:00,Tu-Su 12:00-23:00,Unspecified weekdays set to Closed,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/cb62eb9f-8324-4d83-bd75-42f687ba1985.webp?v=mp2glmp0,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/cb62eb9f-8324-4d83-bd75-42f687ba1985.webp?v=mp2glmp0,2,,Aromaticus è un green bistrot. Il nostro menù + sospeso tra il vegano e il vegetariano. Ma non solo. Dentro i nostri piatti ci sono tutti gli ingredienti di cui hai bisogno per goderti la vita e mantenere in salute te stesso e il nostro pianeta.,41.8872734,12.4709453,aromaticus-rome,cb62eb9f-8324-4d83-bd75-42f687ba1985,low verification,2026-05-12T09:59:45.479986+00:00
Bar,Rome,Italy,8i Vicolo del Bottino,eat,cafe,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add hours / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Bar%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Bar%208i%20Vicolo%20del%20Bottino%20Rome%20Italy,https://www.google.com/search?q=Bar%20Rome%20Italy%20HappyCow,+39 06 69921126,,,Missing hours,https://www.google.com/maps/search/Bar%208i%20Vicolo%20del%20Bottino%20Rome%20Italy,,0,,"Vegan-friendly cafe in Rome, Italy.",41.9063609,12.4828936,bar-rome,48138fd0-e829-48fa-b8c5-d301ea0358f3,missing website; missing hours; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Bar Pepe e Tabacchi,Rome,Italy,39; via Guglielmo Marconi;Viale Guglielmo Marconi,eat,cafe,Vegan friendly,Vegan friendly,Low,1,False,Add hours / Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,http://www.sisal.com,http://www.sisal.com,https://www.google.com/maps/search/Bar%20Pepe%20e%20Tabacchi%2039%3B%20via%20Guglielmo%20Marconi%3BViale%20Guglielmo%20Marconi%20Rome%20Italy,https://www.google.com/search?q=Bar%20Pepe%20e%20Tabacchi%20Rome%20Italy%20HappyCow,06 5530 0993,,,Missing hours,http://www.sisal.com,,0,,"Vegan-friendly cafe in Rome, Italy.",41.8685768,12.4682877,bar-pepe-e-tabacchi-rome,df34749d-88ae-4b61-a3c2-9742e23e78c3,missing hours; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Bar Volo,Rome,Italy,65 Via Francesco Laparelli,eat,cafe,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Bar%20Volo%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Bar%20Volo%2065%20Via%20Francesco%20Laparelli%20Rome%20Italy,https://www.google.com/search?q=Bar%20Volo%20Rome%20Italy%20HappyCow,,Monday: 09:00–23:00; Tuesday: 09:00–23:00; Wednesday: 09:00–23:00; Thursday: 09:00–23:00; Friday: 09:00–23:00; Saturday: 09:00–23:00; Sunday: 09:00–21:00,Mo-Sa 09:00-23:00; Su 09:00-21:00,Parsed from raw hours,https://www.google.com/maps/search/Bar%20Volo%2065%20Via%20Francesco%20Laparelli%20Rome%20Italy,,0,,"Vegan-friendly cafe in Rome, Italy.",41.8793099,12.5396225,bar-volo-rome,04c1890b-e899-4b28-82a1-6162aa98bf6a,missing website; missing phone; missing image; low verification,2026-05-11T08:35:32.871828+00:00
