priority,name,city,country,plants_pack_id,plants_pack_slug,currently_in_plantspack,current_plants_pack_level,recommended_level,recommended_action,open_status,confidence,category,subcategory,current_address,current_website,current_phone,current_opening_hours_raw,official_source_to_scrape,happycow_or_secondary_source,google_maps_search_url,instagram_search_url,scrape_priority_fields,evidence_summary,include_in_active_100_percent_count,last_checked_by_chatgpt
P1-verify,Adio Mare Vegan,Korčula,Croatia,dcb8bdc5-b273-4fea-81be-6d0724f35bfa,adio-mare-vegan-korcula,Yes,fully_vegan,100% vegan,Verify seasonal/open status + enrich,Needs live seasonal verification,Medium,eat,,"Korčula, Dubrovačko-neretvanska županija, Hrvatska",,,,,,https://www.google.com/maps/search/Adio+Mare+Vegan+Kor%C4%8Dula+Croatia,https://www.instagram.com/explore/search/keyword/?q=Adio+Mare+Vegan+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,No until verified,2026-05-17
P0-remove/close,Art of Raw,Zadar,Croatia,2447af0c-ffa5-435c-b9ce-b8a33c896f10,art-of-raw-zadar,Yes,fully_vegan,100% vegan,Merge duplicate + verify if any current business exists; likely archive old HappyCow record,Reported closed / uncertain current concept,High,eat,,"The Garden Zadar, Zadar, Croatia",,,,,https://www.happycow.net/reviews/art-of-raw-zadar-60410,https://www.google.com/maps/search/Art+of+Raw+Zadar+Croatia,https://www.instagram.com/explore/search/keyword/?q=Art+of+Raw+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Duplicate/old seasonal concept; HappyCow reports closed June 2021 for The Garden Zadar record. Verify if a new Art of Raw exists before keeping.,No until verified,2026-05-17
P0-remove/close,Art of Raw,Zadar,Croatia,f97bbafd-d7c6-4b63-a4f8-70f21517b73f,croatia-longtail-overnight-art-of-raw,Yes,fully_vegan,100% vegan,Merge duplicate + verify if any current business exists; likely archive old HappyCow record,Reported closed / uncertain current concept,High,eat,,"Zadar, Croatia",,,,,https://www.happycow.net/reviews/art-of-raw-zadar-60410,https://www.google.com/maps/search/Art+of+Raw+Zadar+Croatia,https://www.instagram.com/explore/search/keyword/?q=Art+of+Raw+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Duplicate/old seasonal concept; HappyCow reports closed June 2021 for The Garden Zadar record. Verify if a new Art of Raw exists before keeping.,No until verified,2026-05-17
P2-enrich,Barakokula,Split,Croatia,09ea2232-785a-457d-ad4d-dc2df72d1d79,barakokula-split,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,restaurant,"IV 3 Petra Krešimira, 21000, Croatia",https://barakokula-plant-based.eatbu.com,+385 99 344 4648,,https://barakokula-plant-based.eatbu.com,https://www.happycow.net/europe/croatia/split/,https://www.google.com/maps/search/Barakokula+Split+Croatia,https://www.instagram.com/explore/search/keyword/?q=Barakokula+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P0-remove/close,Barcode Mitra,Croatia,Croatia,f3dacc2c-934c-46c4-99de-a44e89c41dfb,barcode-mitra-croatia,Yes,fully_vegan,100% vegan,Remove/archive from active 100% vegan layer,Reported closed,High,eat,,"Zagrebačka cesta 113, Croatia",https://www.barcodemitra.hr/,+385 1 3770 428,"off ""izgleda trajno zatvoreno u 2025/12""",https://www.barcodemitra.hr/,,https://www.google.com/maps/search/Barcode+Mitra++Croatia,https://www.instagram.com/explore/search/keyword/?q=Barcode+Mitra+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",HappyCow/PlantsPack evidence indicates permanently closed; archive from active 100% vegan layer.,No until verified,2026-05-17
P2-enrich,BioMania,Zagreb,Croatia,2350fbdf-72c6-4119-a601-d18096391a4d,biomania-zagreb,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,restaurant,"65 Tkalčićeva ulica, Zagreb, 10000, Croatia",https://biomania.hr/locations/biomania-zagreb/,+385 91 574 3914,Tu 11:00-23:00; We 11:00-23:00; Th 11:00-23:00; Fr 11:00-23:00; Sa 11:00-23:00; Su 11:00-23:00,https://biomania.hr/locations/biomania-zagreb/,https://www.happycow.net/reviews/biomania-bistro-zagreb-442947,https://www.google.com/maps/search/BioMania+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=BioMania+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P2-enrich,Biomania Street Food,Bol,Croatia,27d5bf3c-4493-4f96-bd33-a1b67a6de158,biomania-street-food-bol,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,restaurant,"Put Zlatnog rata, Bol, 21420, Croatia",https://biomania.hr,+385 91 301 5362,,https://biomania.hr/,https://www.happycow.net/reviews/biomania-street-food-bol-130734,https://www.google.com/maps/search/Biomania+Street+Food+Bol+Croatia,https://www.instagram.com/explore/search/keyword/?q=Biomania+Street+Food+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P1-verify,Falafel etc.,Zagreb,Croatia,145a3aa3-2ee6-40bd-acdc-990c659037da,falafel-etc-city-of-zagreb,Yes,fully_vegan,100% vegan,Keep + enrich,Needs verification,Medium,eat,restaurant,60 Ulica Andrije Žaje,https://falafeletc.com.hr/,012343945,Mo-Su 11:00-21:30,https://falafeletc.com.hr/,https://www.happycow.net/best-vegan-restaurants/zagreb-croatia,https://www.google.com/maps/search/Falafel+etc.+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=Falafel+etc.+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P1-verify,Green Goodness Hvar,Hvar,Croatia,d466f1bb-9d27-481e-8c3e-4024db2d460b,green-goodness-hvar-hvar,Yes,fully_vegan,100% vegan,Verify seasonal/open status + enrich,Needs live seasonal verification,Medium,eat,,"Hvar, Splitsko-dalmatinska županija, Hrvatska",,,,,https://www.facebook.com/greengoodnesshvar/,https://www.google.com/maps/search/Green+Goodness+Hvar+Hvar+Croatia,https://www.instagram.com/explore/search/keyword/?q=Green+Goodness+Hvar+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,No until verified,2026-05-17
P1-verify,Makrovega,Rijeka,Croatia,e5fa235f-0299-4500-98af-02f793f0ae52,croatia-blog-makrovega,Yes,fully_vegan,Mostly vegan unless official confirms 100% vegan,Verify and likely downgrade,Open status unknown,Medium,eat,,"Rijeka, Croatia",,,,,https://www.happycow.net/reviews/klub-makrovega-rijeka-27893,https://www.google.com/maps/search/Makrovega+Rijeka+Croatia,https://www.instagram.com/explore/search/keyword/?q=Makrovega+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links","HappyCow says most dishes are vegan/macrobiotic, not clearly 100% vegan; verify and likely downgrade to Mostly vegan.",No until verified,2026-05-17
