record_type,priority,action,name,city,country,current_category,current_subcategory,current_vegan_level,target_vegan_level,plants_pack_id,plants_pack_slug,current_address,current_website,current_phone,current_opening_hours,current_description,current_main_image_url,verification_level,fields_to_fix,official_source_to_scrape,google_maps_search_url,happycow_or_secondary_source,instagram_or_social_search,evidence_needed,reason_for_action,notes_for_agent
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Eiscafé Elisenbrunnen,Aachen,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,d98935d1-c76e-4d4e-b961-e58cb7a64680,eiscafe-elisenbrunnen-aachen,14 Friedrich-Wilhelm-Platz,http://www.eiscafe-elisenbrunnen.de/,,Mar Su[-1]-Oct Su[-1] -1 day: Mo-Sa 09:00-23:00; Su 10:00-23:00; Oct Su[-1]-Mar Su[-1] -1 day: Mo-Sa 09:00-20:00; Su 10:00-20:00,"Eiscafé Elisenbrunnen offers a delightful array of vegan gelato and sorbets, made from high-quality plant-based ingredients that highlight seasonal flavors. Visitors can enjoy these creamy confections in a charming setting, perfect for a leisurely afternoon treat while exploring Aachen's picturesque streets. Additionally, the café features vegan snacks and refreshing beverages, making it an ideal ",https://images.happycow.net/venues/1024/30/03/hcmp300343_2553519.jpeg,2,phone,http://www.eiscafe-elisenbrunnen.de/,https://www.google.com/maps/search/Eiscaf%C3%A9+Elisenbrunnen+Aachen+Germany,https://www.happycow.net/searchmap?s=3&location=Eiscaf%C3%A9+Elisenbrunnen+Aachen+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22Eiscaf%C3%A9+Elisenbrunnen%22+%22Aachen%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Amöneburger Kebaphaus,Amoneburg,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,dfd6d798-10e3-488a-bd9b-69209181044b,amoneburger-kebaphaus-amoneburg,,,+49 64229479979,"Tu-Th 11:00-21:00, Fr-Sa 11:00-23:00; Su,PH 12:00-23:00","Amöneburger Kebaphaus offers a delightful array of vegan kebabs and pizzas, featuring house-made seitan and fresh, locally sourced vegetables. The inviting atmosphere is perfect for enjoying a casual meal with friends, while the vibrant flavors and creative toppings ensure that every dish is both satisfying and memorable. Don't miss their signature sauces that add a punch of flavor to your selecti",https://images.happycow.net/venues/1024/36/01/hcmp360128_2232940.jpeg,2,"website, address",https://www.google.com/search?q=official+website+%22Am%C3%B6neburger+Kebaphaus%22+%22Amoneburg%22+vegan,https://www.google.com/maps/search/Am%C3%B6neburger+Kebaphaus+Amoneburg+Germany,https://www.happycow.net/searchmap?s=3&location=Am%C3%B6neburger+Kebaphaus+Amoneburg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22Am%C3%B6neburger+Kebaphaus%22+%22Amoneburg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,CafeBar bei der Alten Cafeteria,Augsburg,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,fa9bacb9-d984-4456-9922-dc36f67af501,cafebar-bei-der-alten-cafeteria-augsburg,,,,Mo-Th 09:00-15:00; Fr 09:00-14:00; 2026 Feb 09-2026 Apr 10 Mo-Fr 09:00-14:00,"Nestled in Augsburg, CafeBar bei der Alten Cafeteria offers a cozy atmosphere where you can enjoy an array of delectable vegan dishes, from hearty grain bowls to flavorful plant-based burgers. Their rotating selection of seasonal smoothies and freshly baked pastries ensures that there's always something new to try, while the inviting decor and friendly staff create a perfect spot for casual dining",https://images.happycow.net/venues/1024/34/66/hcmp346674_2156643.jpeg,2,"website, phone, address",https://www.google.com/search?q=official+website+%22CafeBar+bei+der+Alten+Cafeteria%22+%22Augsburg%22+vegan,https://www.google.com/maps/search/CafeBar+bei+der+Alten+Cafeteria+Augsburg+Germany,https://www.happycow.net/searchmap?s=3&location=CafeBar+bei+der+Alten+Cafeteria+Augsburg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22CafeBar+bei+der+Alten+Cafeteria%22+%22Augsburg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Ädar Vegan & Döner,Augsburg,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,e34a49ee-7fc8-42ae-b49b-cf876427b3fe,adar-vegan-and-doner-augsburg,2 Äußeres Pfaffengäßchen,,,,"Experience a unique twist on traditional kebabs at Ädar Vegan & Döner, where hearty seitan and crispy veggies come together in flavorful wraps and bowls. With a focus on authentic spices and house-made sauces, this eatery invites you to indulge in satisfying plant-based street food that delivers both taste and texture. Don’t miss their signature döner kebab served with a side of tangy vegan garlic",https://images.happycow.net/venues/1024/38/11/hcmp381113_2463325.jpeg,2,"website, phone, opening_hours",https://www.google.com/search?q=official+website+%22%C3%84dar+Vegan+%26+D%C3%B6ner%22+%22Augsburg%22+vegan,https://www.google.com/maps/search/%C3%84dar+Vegan+%26+D%C3%B6ner+Augsburg+Germany,https://www.happycow.net/searchmap?s=3&location=%C3%84dar+Vegan+%26+D%C3%B6ner+Augsburg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22%C3%84dar+Vegan+%26+D%C3%B6ner%22+%22Augsburg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,dm,Bad Camberg,Germany,store,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,0e420b49-e164-429b-8d9f-12b246911209,dm-bad-camberg,1a Beuerbacher Landstraße,,,Mo-Sa 08:00-20:00,"Located in Bad Camberg, dm offers a diverse range of vegan products, from delectable snacks to cruelty-free cosmetics, catering to all your plant-based needs. Shoppers can explore an extensive selection of dairy alternatives, organic grains, and sustainable household items, all while enjoying a welcoming atmosphere that promotes a healthy lifestyle. With knowledgeable staff available to assist, yo",,2,"website, phone, main_image_url",https://www.google.com/search?q=official+website+%22dm%22+%22Bad+Camberg%22+vegan,https://www.google.com/maps/search/dm+Bad+Camberg+Germany,https://www.happycow.net/searchmap?s=3&location=dm+Bad+Camberg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22dm%22+%22Bad+Camberg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Döner Ambrosia,Bad Salzuflen,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,52d662d9-f9c1-4130-a37d-f64a49376760,doner-ambrosia-bad-salzuflen,,,,Tu-Su 11:00-22:00,"Döner Ambrosia in Bad Salzuflen serves up a delightful twist on traditional kebabs, with a fully vegan menu featuring flavorful seitan and marinated vegetable options. Each dish is complemented by house-made sauces and fresh toppings that elevate the experience, all served in a warm, casual atmosphere perfect for a quick bite or a leisurely meal. With its focus on sustainability and taste, this ea",https://images.happycow.net/venues/1024/40/16/hcmp401643_3452184.jpeg,2,"website, phone, address",https://www.google.com/search?q=official+website+%22D%C3%B6ner+Ambrosia%22+%22Bad+Salzuflen%22+vegan,https://www.google.com/maps/search/D%C3%B6ner+Ambrosia+Bad+Salzuflen+Germany,https://www.happycow.net/searchmap?s=3&location=D%C3%B6ner+Ambrosia+Bad+Salzuflen+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22D%C3%B6ner+Ambrosia%22+%22Bad+Salzuflen%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Eis Capriccio,Bad Sooden-Allendorf,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,479f859f-ea35-405e-9301-40e3d61ee9d6,eis-capriccio-bad-sooden-allendorf,,,,We-Mo 11:00-18:00,"Indulge in a delightful variety of artisanal vegan ice creams crafted from organic ingredients at Eis Capriccio, where traditional flavors meet innovative creations. Located in the charming town of Bad Sooden-Allendorf, each scoop is a refreshing treat, with options like creamy coconut mango and rich dark chocolate, ensuring a blissful experience for both vegan enthusiasts and ice cream lovers ali",https://images.happycow.net/venues/1024/36/47/hcmp364770_2279282.jpeg,2,"website, phone, address",https://www.google.com/search?q=official+website+%22Eis+Capriccio%22+%22Bad+Sooden-Allendorf%22+vegan,https://www.google.com/maps/search/Eis+Capriccio+Bad+Sooden-Allendorf+Germany,https://www.happycow.net/searchmap?s=3&location=Eis+Capriccio+Bad+Sooden-Allendorf+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22Eis+Capriccio%22+%22Bad+Sooden-Allendorf%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Bamberger Döner,Bamberg,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,5c833ee1-6665-4f95-b5c7-bca5f2b12ef5,bamberger-doner-bamberg,,,,Th-Sa 10:30-24:00; Su-We 10:30-23:00,"Bamberger Döner specializes in mouthwatering vegan kebabs, featuring marinated plant-based proteins and a variety of fresh, house-made sauces that cater to diverse palates. Guests can customize their wraps with a colorful array of toppings, including seasonal vegetables and zesty pickles, while enjoying a vibrant, casual atmosphere that celebrates the fusion of traditional flavors and modern vegan",https://images.happycow.net/venues/1024/22/10/hcmp221080_1499115.jpeg,2,"website, phone, address",https://www.google.com/search?q=official+website+%22Bamberger+D%C3%B6ner%22+%22Bamberg%22+vegan,https://www.google.com/maps/search/Bamberger+D%C3%B6ner+Bamberg+Germany,https://www.happycow.net/searchmap?s=3&location=Bamberger+D%C3%B6ner+Bamberg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22Bamberger+D%C3%B6ner%22+%22Bamberg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Eis Caffé Bassano,Bamberg,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,4dd6ab8b-3ab5-4981-b2d8-9de9add41b7d,eis-caffe-bassano-bamberg,,,,Tu-Su 10:00-21:00; Mo off,"Eis Caffé Bassano offers a delightful selection of vegan gelato made from organic ingredients, with flavors ranging from classic chocolate to unique seasonal creations like lavender lemon. Guests can enjoy their treats in a cozy outdoor setting, complemented by a variety of plant-based snacks and beverages, making it the perfect spot for a refreshing break while exploring Bamberg.",https://images.happycow.net/venues/1024/30/94/hcmp309400_2130003.jpeg,2,"website, phone, address",https://www.google.com/search?q=official+website+%22Eis+Caff%C3%A9+Bassano%22+%22Bamberg%22+vegan,https://www.google.com/maps/search/Eis+Caff%C3%A9+Bassano+Bamberg+Germany,https://www.happycow.net/searchmap?s=3&location=Eis+Caff%C3%A9+Bassano+Bamberg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22Eis+Caff%C3%A9+Bassano%22+%22Bamberg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,burgerme,Bamberg,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,dc6c66ba-355c-43a6-9893-5317f9f17be4,burgerme-bamberg,,https://www.burgerme.de/standorte/bamberg/,+49 951 99391111,Mo-Fr 11:00-22:00; Sa-Su 12:00-22:00,"Burgerme in Bamberg specializes in mouthwatering vegan burgers crafted from high-quality, locally sourced ingredients. Guests can enjoy a variety of innovative options, including a smoky BBQ jackfruit burger and a spicy lentil patty, all served with homemade sauces and a selection of fresh toppings. The casual, vibrant atmosphere makes it an ideal spot for both casual lunches and fun dinner outing",https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/dc6c66ba-355c-43a6-9893-5317f9f17be4.webp?v=mp2iamre,2,address,https://www.burgerme.de/standorte/bamberg/,https://www.google.com/maps/search/burgerme+Bamberg+Germany,https://www.happycow.net/searchmap?s=3&location=burgerme+Bamberg+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22burgerme%22+%22Bamberg%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
existing_plants_pack_fully_vegan,P0,Verify 100% vegan claim; downgrade/remove if menu is mixed,Arin,Beilngrie,Germany,eat,,fully_vegan,100% vegan if verified; otherwise downgrade to mostly vegan / vegan friendly / vegan options or remove,7afa5674-759f-403e-b20a-cb77062c7d76,arin-beilngrie,22 Ringstraße,,+49 8461 705 2857,Tu-Su 10:30-20:00,"Located in Beilngrie, Arin offers a delectable selection of vegan pizzas, juicy plant-based burgers, and flavorful Turkish-inspired kebabs, all crafted with fresh, locally sourced ingredients. The cozy atmosphere invites diners to explore creative recipes that highlight traditional flavors, making it a go-to spot for hearty vegan comfort food in a welcoming setting. Whether you're craving a classi",,2,"website, main_image_url",https://www.google.com/search?q=official+website+%22Arin%22+%22Beilngrie%22+vegan,https://www.google.com/maps/search/Arin+Beilngrie+Germany,https://www.happycow.net/searchmap?s=3&location=Arin+Beilngrie+Germany,https://www.google.com/search?q=site%3Ainstagram.com+%22Arin%22+%22Beilngrie%22+vegan,Official site/menu/social or HappyCow/Google confirmation that all food/drink is vegan; current open status; exact address; hours; phone; reusable image source.,"Record is marked fully vegan but name/cuisine/category suggests a possible chain, meat-heavy, retail, generic, or non-restaurant import false positive.","Do not trust current fully_vegan flag blindly. Use official menu first. If dairy/egg/meat/fish/honey or mixed chain menu appears, downgrade."
